M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.8831992D+30  6.7157356D+09  6.8725283D+10  3.5319628D+03  2.2553620D-01  8.0938504D+05  1.91280D-01  1.91280D-01  3.09823D+33
  1.8806156D+30  6.6962131D+09  8.0833897D+10  3.6423906D+03  2.4307792D-01  8.5231623D+05  1.88291D-01  1.88291D-01  3.22631D+33
  1.8776623D+30  6.6753568D+09  9.4828115D+10  3.7527253D+03  2.6135760D-01  8.9712244D+05  1.86295D-01  1.86295D-01  3.36427D+33
  1.8743136D+30  6.6531920D+09  1.1088135D+11  3.8633263D+03  2.8030943D-01  9.4359966D+05  1.85129D-01  1.85129D-01  3.50856D+33
  1.8705402D+30  6.6297134D+09  1.2919394D+11  3.9740797D+03  2.9987700D-01  9.9070157D+05  1.84973D-01  1.84973D-01  3.65836D+33
  1.8663164D+30  6.6049381D+09  1.4995697D+11  4.0849797D+03  3.2002573D-01  1.0395259D+06  1.84289D-01  1.84289D-01  3.81224D+33
  1.8616162D+30  6.5788725D+09  1.7337530D+11  4.1958010D+03  3.4071397D-01  1.0881116D+06  1.84738D-01  1.84738D-01  3.97005D+33
  1.8564224D+30  6.5515663D+09  1.9961817D+11  4.3066649D+03  3.6188893D-01  1.1383342D+06  1.85360D-01  1.85360D-01  4.12969D+33
  1.8507195D+30  6.5230629D+09  2.2885701D+11  4.4175400D+03  3.8348678D-01  1.1887127D+06  1.86696D-01  1.86696D-01  4.29002D+33
  1.8444981D+30  6.4934217D+09  2.6123937D+11  4.5285049D+03  4.0543190D-01  1.2407230D+06  1.88291D-01  1.88291D-01  4.44938D+33
  1.8377513D+30  6.4626989D+09  2.9690795D+11  4.6395527D+03  4.2769400D-01  1.2905398D+06  1.90386D-01  1.90386D-01  4.60669D+33
  1.8304770D+30  6.4309610D+09  3.3598584D+11  4.7507353D+03  4.5026359D-01  1.3410225D+06  1.92745D-01  1.92745D-01  4.76071D+33
  1.8226703D+30  6.3982500D+09  3.7861949D+11  4.8618284D+03  4.7313504D-01  1.3883818D+06  1.93794D-01  1.93794D-01  4.91196D+33
  1.8143180D+30  6.3645711D+09  4.2500770D+11  4.9721963D+03  4.9641158D-01  1.4348595D+06  1.94782D-01  1.94782D-01  5.06347D+33
  1.8054268D+30  6.3300062D+09  4.7524595D+11  5.0819726D+03  5.2004210D-01  1.4802438D+06  1.96824D-01  1.96824D-01  5.21396D+33
  1.7960193D+30  6.2946823D+09  5.2934295D+11  5.1917747D+03  5.4403273D-01  1.5227436D+06  1.99616D-01  1.99616D-01  5.35946D+33
  1.7860994D+30  6.2586477D+09  5.8741226D+11  5.3014116D+03  5.6839178D-01  1.5650666D+06  2.01869D-01  2.01869D-01  5.50085D+33
  1.7756756D+30  6.2219593D+09  6.4954378D+11  5.4108197D+03  5.9311074D-01  1.6049694D+06  2.04865D-01  2.04865D-01  5.63833D+33
  1.7647708D+30  6.1847160D+09  7.1574288D+11  5.5204066D+03  6.1819582D-01  1.6438096D+06  2.08421D-01  2.08421D-01  5.76956D+33
  1.7533997D+30  6.1469809D+09  7.8605812D+11  5.6302500D+03  6.4361575D-01  1.6823312D+06  2.12126D-01  2.12126D-01  5.89415D+33
  1.7415729D+30  6.1087949D+09  8.6056521D+11  5.7402386D+03  6.6937411D-01  1.7187343D+06  2.15047D-01  2.15047D-01  6.01285D+33
  1.7292972D+30  6.0701839D+09  9.3936410D+11  5.8501262D+03  6.9549942D-01  1.7544398D+06  2.17801D-01  2.17801D-01  6.12719D+33
  1.7165851D+30  6.0311893D+09  1.0225176D+12  5.9598697D+03  7.2198064D-01  1.7893451D+06  2.20428D-01  2.20428D-01  6.23759D+33
