  M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.3891460D+30  5.1871963D+09  3.7496060D+12  8.2081226D+03  1.3575940D+00  2.3814391D+06  2.83221D-01  2.83221D-01  7.85634D+33
  1.3692166D+30  5.1439629D+09  3.9479633D+12  8.3292907D+03  1.3921423D+00  2.4104972D+06  2.85375D-01  2.85375D-01  7.91456D+33
  1.3491118D+30  5.1006992D+09  4.1519783D+12  8.4505251D+03  1.4268728D+00  2.4367548D+06  2.88241D-01  2.88241D-01  7.97316D+33
  1.3288489D+30  5.0574188D+09  4.3616075D+12  8.5719739D+03  1.4617986D+00  2.4630276D+06  2.91182D-01  2.91182D-01  8.03167D+33
  1.3084412D+30  5.0141262D+09  4.5768424D+12  8.6936650D+03  1.4969034D+00  2.4891765D+06  2.94121D-01  2.94121D-01  8.09018D+33
  1.2879007D+30  4.9708231D+09  4.7976807D+12  8.8155983D+03  1.5321728D+00  2.5153955D+06  2.97002D-01  2.97002D-01  8.14892D+33
  1.2672389D+30  4.9275095D+09  5.0241239D+12  8.9377554D+03  1.5675877D+00  2.5419052D+06  2.99776D-01  2.99776D-01  8.20817D+33
  1.2464665D+30  4.8841835D+09  5.2561768D+12  9.0601001D+03  1.6031242D+00  2.5689226D+06  3.02396D-01  3.02396D-01  8.26829D+33
  1.2255933D+30  4.8408410D+09  5.4938481D+12  9.1825770D+03  1.6387484D+00  2.5973841D+06  3.04416D-01  3.04416D-01  8.32971D+33
  1.2046227D+30  4.7974632D+09  5.7372242D+12  9.3048888D+03  1.6744267D+00  2.6261560D+06  3.06073D-01  3.06073D-01  8.39391D+33
  1.1835657D+30  4.7540474D+09  5.9862973D+12  9.4270172D+03  1.7101475D+00  2.6550293D+06  3.07564D-01  3.07564D-01  8.46110D+33
  1.1624325D+30  4.7105887D+09  6.2410697D+12  9.5489094D+03  1.7458981D+00  2.6840143D+06  3.08892D-01  3.08892D-01  8.53168D+33
  1.1412331D+30  4.6670819D+09  6.5015417D+12  9.6705142D+03  1.7816660D+00  2.7131151D+06  3.10062D-01  3.10062D-01  8.60601D+33
  1.1199773D+30  4.6235216D+09  6.7677113D+12  9.7917813D+03  1.8174391D+00  2.7423346D+06  3.11079D-01  3.11079D-01  8.68448D+33
  1.0986751D+30  4.5799022D+09  7.0395746D+12  9.9126620D+03  1.8532054D+00  2.7716753D+06  3.11947D-01  3.11947D-01  8.76747D+33
  1.0773361D+30  4.5362179D+09  7.3171257D+12  1.0033109D+04  1.8889534D+00  2.8010775D+06  3.12444D-01  3.12444D-01  8.85534D+33
  1.0559647D+30  4.4924517D+09  7.6004287D+12  1.0152871D+04  1.9246902D+00  2.8299661D+06  3.12285D-01  3.12285D-01  8.94935D+33
  1.0345699D+30  4.4485964D+09  7.8894859D+12  1.0271875D+04  1.9604228D+00  2.8583155D+06  3.12092D-01  3.12092D-01  9.04999D+33
  1.0131621D+30  4.4046484D+09  8.1842767D+12  1.0390110D+04  1.9961551D+00  2.8861273D+06  3.11871D-01  3.11871D-01  9.15754D+33
  9.9175172D+29  4.3606038D+09  8.4847786D+12  1.0507569D+04  2.0318910D+00  2.9134045D+06  3.11627D-01  3.11627D-01  9.27228D+33
  9.7034899D+29  4.3164588D+09  8.7909670D+12  1.0624246D+04  2.0676341D+00  2.9401506D+06  3.11366D-01  3.11366D-01  9.39452D+33
  9.4896396D+29  4.2722094D+09  9.1028155D+12  1.0740138D+04  2.1033881D+00  2.9663701D+06  3.11094D-01  3.11094D-01  9.52455D+33
  9.2760655D+29  4.2278517D+09  9.4202958D+12  1.0855245D+04  2.1391562D+00  2.9920680D+06  3.10814D-01  3.10814D-01  9.66274D+33
  9.0628680D+29  4.1833821D+09  9.7433737D+12  1.0969576D+04  2.1749451D+00  3.0166328D+06  3.10645D-01  3.10645D-01  9.80940D+33
  8.8500792D+29  4.1387834D+09  1.0072117D+13  1.1082864D+04  2.2108181D+00  3.0377189D+06  3.08664D-01  3.08664D-01  9.96607D+33
  8.6377360D+29  4.0940401D+09  1.0406589D+13  1.1194858D+04  2.2468183D+00  3.0583606D+06  3.06937D-01  3.06937D-01  1.01343D+34
  8.4259518D+29  4.0491532D+09  1.0746732D+13  1.1305639D+04  2.2829429D+00  3.0786106D+06  3.05438D-01  3.05438D-01  1.03142D+34
  8.2148356D+29  4.0041226D+09  1.1092489D+13  1.1415278D+04  2.3191878D+00  3.0985182D+06  3.04143D-01  3.04143D-01  1.05061D+34
  8.0044928D+29  3.9589475D+09  1.1443801D+13  1.1523839D+04  2.3555485D+00  3.1181287D+06  3.03030D-01  3.03030D-01  1.07104D+34
  7.7950252D+29  3.9136262D+09  1.1800611D+13  1.1631381D+04  2.3920197D+00  3.1374848D+06  3.02082D-01  3.02082D-01  1.09275D+34
  7.5865317D+29  3.8681567D+09  1.2162859D+13  1.1737957D+04  2.4285952D+00  3.1566263D+06  3.01281D-01  3.01281D-01  1.11578D+34
  7.3791085D+29  3.8225358D+09  1.2530484D+13  1.1843614D+04  2.4652683D+00  3.1755905D+06  3.00613D-01  3.00613D-01  1.14021D+34
  7.1728580D+29  3.7767622D+09  1.2903408D+13  1.1948437D+04  2.5020311D+00  3.1943116D+06  3.00399D-01  3.00399D-01  1.16607D+34
  6.9678876D+29  3.7308352D+09  1.3281536D+13  1.2052545D+04  2.5388755D+00  3.2124559D+06  3.00044D-01  3.00044D-01  1.19341D+34
  6.7642352D+29  3.6847388D+09  1.3664897D+13  1.2155722D+04  2.5758265D+00  3.2295367D+06  2.99122D-01  2.99122D-01  1.22243D+34
  6.5619811D+29  3.6384663D+09  1.4053438D+13  1.2257959D+04  2.6128817D+00  3.2467323D+06  2.98378D-01  2.98378D-01  1.25324D+34
  6.3612173D+29  3.5920136D+09  1.4447079D+13  1.2359310D+04  2.6500261D+00  3.2640763D+06  2.97789D-01  2.97789D-01  1.28594D+34
  6.1620334D+29  3.5453754D+09  1.4845740D+13  1.2459820D+04  2.6872444D+00  3.2816013D+06  2.97335D-01  2.97335D-01  1.32065D+34
  5.9645168D+29  3.4985458D+09  1.5249336D+13  1.2559529D+04  2.7245208D+00  3.2993389D+06  2.96999D-01  2.96999D-01  1.35750D+34
  5.7687531D+29  3.4515181D+09  1.5657779D+13  1.2658469D+04  2.7618388D+00  3.3173198D+06  2.96763D-01  2.96763D-01  1.39663D+34
  5.5748263D+29  3.4042846D+09  1.6070979D+13  1.2756668D+04  2.7991814D+00  3.3355736D+06  2.96614D-01  2.96614D-01  1.43820D+34
  5.3828193D+29  3.3568371D+09  1.6488843D+13  1.2854150D+04  2.8365311D+00  3.3541292D+06  2.96539D-01  2.96539D-01  1.48240D+34
  5.1928143D+29  3.3091667D+09  1.6911270D+13  1.2950935D+04  2.8738622D+00  3.3738968D+06  2.96564D-01  2.96564D-01  1.52942D+34
  5.0048946D+29  3.2612638D+09  1.7338152D+13  1.3047051D+04  2.9111392D+00  3.3941850D+06  2.96665D-01  2.96665D-01  1.57949D+34
  4.8191411D+29  3.2131178D+09  1.7769380D+13  1.3142512D+04  2.9483460D+00  3.4146822D+06  2.96822D-01  2.96822D-01  1.63285D+34
  4.6356385D+29  3.1647183D+09  1.8204828D+13  1.3237355D+04  2.9854589D+00  3.4365947D+06  2.97674D-01  2.97674D-01  1.68978D+34
  4.4545128D+29  3.1160654D+09  1.8644262D+13  1.3331879D+04  3.0224209D+00  3.4594406D+06  2.98942D-01  2.98942D-01  1.75040D+34
  4.2758352D+29  3.0671441D+09  1.9087567D+13  1.3426052D+04  3.0592191D+00  3.4823009D+06  3.00131D-01  3.00131D-01  1.81507D+34
  4.0996775D+29  3.0179388D+09  1.9534624D+13  1.3519843D+04  3.0958446D+00  3.5051724D+06  3.01243D-01  3.01243D-01  1.88420D+34
